Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored
15,0.012,0,12,983,0,0,0,0,7
15,0.012,1,63,895,0,0,0,0,55
15,0.012,2,67,-113,1,0,1,0,52
15,0.012,3,32,953,0,0,0,0,26
15,0.012,4,270,-3471,4,2,2,2,146
15,0.012,5,334,-5593,6,3,3,2,174
15,0.012,6,77,-1124,2,1,1,0,61
15,0.012,7,16,973,0,0,0,0,10
15,0.012,8,464,-3883,4,2,2,2,149
15,0.012,9,101,-1168,2,1,1,1,76
15,0.012,0,171,-2292,3,2,1,0,132
15,0.012,1,100,-1160,2,2,0,0,89
15,0.012,2,41,939,0,0,0,0,37
15,0.012,3,2265,-9465,6,3,3,3,194
15,0.012,4,553,-6025,6,3,3,2,187
15,0.012,5,961,-6860,6,3,3,3,192
15,0.012,6,51,-78,1,1,0,0,45
15,0.012,7,383,-5674,6,3,3,3,189
15,0.012,8,254,-5445,6,3,3,1,167
15,0.012,9,64,-1095,2,1,1,0,51
15,0.012,0,12,-17,1,0,1,0,8
15,0.012,1,172,-2277,3,2,1,0,117
15,0.012,2,143,-1234,2,2,0,0,118
15,0.012,3,615,-6164,6,3,3,2,183
15,0.012,4,37,-60,1,0,1,0,29
15,0.012,5,117,-197,1,0,1,0,97
15,0.012,6,305,-5541,6,3,3,3,128
15,0.012,7,31,-54,1,0,1,0,24
15,0.012,8,99,-2150,3,1,2,1,81
15,0.012,9,31,-48,1,0,1,0,26
15,0.012,0,113,-183,1,0,1,0,91
15,0.012,1,61,899,0,0,0,0,55
15,0.012,2,317,-4546,5,3,2,2,174
15,0.012,3,135,-3203,4,3,1,1,108
15,0.012,4,44,-74,1,0,1,1,34
15,0.012,5,112,-2183,3,2,1,0,89
15,0.012,6,133,-2224,3,2,1,1,79
15,0.012,7,60,-86,1,0,1,1,50
15,0.012,8,111,-1179,2,1,1,0,90
15,0.012,9,1407,-7787,6,3,3,3,182
15,0.012,0,313,-4554,5,3,2,2,164
15,0.012,1,427,-2788,3,2,1,1,158
15,0.012,2,382,-4690,5,2,3,2,142
15,0.012,3,369,-4704,5,3,2,1,164
15,0.012,4,429,-4779,5,3,2,1,164
15,0.012,5,75,-125,1,0,1,0,65
15,0.012,6,242,-4391,5,2,3,2,173
15,0.012,7,90,-1143,2,1,1,1,72
