Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored,Gold Found
10,0.03,0,40,-67,1,1,0,0,21,1
10,0.03,1,67,-1108,2,0,2,1,46,1
10,0.03,2,104,-3169,4,2,2,1,60,1
10,0.03,3,63,-1102,2,1,1,0,36,1
10,0.03,4,149,-3257,4,2,2,0,62,1
10,0.03,5,47,-3068,4,1,3,0,25,1
10,0.03,6,68,-2102,3,2,1,0,49,1
10,0.03,7,155,-4270,5,2,3,0,58,1
10,0.03,8,25,-43,1,0,1,0,15,1
10,0.03,9,27,-42,1,0,1,0,16,1
10,0.03,0,23,-36,1,0,1,0,16,1
10,0.03,1,66,-2107,3,1,2,0,47,1
10,0.03,2,108,-195,1,0,1,0,46,1
10,0.03,3,56,-2091,3,1,2,0,38,1
10,0.03,4,75,-3118,4,2,2,1,43,1
10,0.03,5,41,-69,1,0,1,0,32,1
10,0.03,6,84,-1152,2,1,1,1,57,1
10,0.03,7,75,-1130,2,0,2,0,46,1
10,0.03,8,82,-2135,3,2,1,0,53,1
10,0.03,9,70,-2109,3,1,2,0,50,1
10,0.03,0,47,-2076,3,1,2,1,25,1
10,0.03,1,173,-4306,5,3,2,1,65,1
10,0.03,2,31,947,0,0,0,0,17,1
10,0.03,3,138,-2239,3,2,1,1,58,1
10,0.03,4,562,-6116,6,3,3,3,74,0
10,0.03,5,597,-6183,6,3,3,2,69,0
10,0.03,6,106,-4175,5,3,2,1,55,1
10,0.03,7,165,-5283,6,3,3,3,75,1
10,0.03,8,515,-5999,6,3,3,2,71,1
10,0.03,9,1229,-7471,6,3,3,3,74,0
10,0.03,0,92,-4157,5,3,2,1,42,1
10,0.03,1,34,-1050,2,2,0,0,19,1
10,0.03,2,47,-2070,3,3,0,0,29,1
10,0.03,3,89,-3151,4,2,2,1,45,1
10,0.03,4,87,-2136,3,1,2,1,54,1
10,0.03,5,33,-1053,2,1,1,0,21,1
10,0.03,6,64,-2105,3,2,1,1,39,1
10,0.03,7,111,-5173,6,3,3,2,59,1
10,0.03,8,74,-5121,6,4,2,1,35,1
10,0.03,9,58,-108,1,0,1,0,28,1
10,0.03,0,66,-1106,2,1,1,0,44,1
10,0.03,1,11,984,0,0,0,0,6,1
