Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored,Gold Found
5,0.12,0,3,-1003,1,1,0,0,0,0
5,0.12,1,3,-1004,1,1,0,0,0,0
5,0.12,2,3,-1003,1,1,0,0,0,0
5,0.12,3,3,-1004,1,1,0,0,0,0
5,0.12,4,3,-1004,1,1,0,0,0,0
5,0.12,5,3,-1003,1,1,0,0,0,0
5,0.12,6,3,-1003,1,1,0,0,0,0
5,0.12,7,3,-1004,1,1,0,0,0,0
5,0.12,8,3,-1003,1,1,0,0,0,0
5,0.12,9,3,-1004,1,1,0,0,0,0
5,0.12,0,34,-5065,6,3,3,3,7,1
5,0.12,1,16,-3031,4,2,2,1,3,1
5,0.12,2,35,-5068,6,3,3,3,10,1
5,0.12,3,13,-1026,2,1,1,1,4,1
5,0.12,4,11,-1020,2,1,1,1,3,1
5,0.12,5,11,-1020,2,1,1,1,3,1
5,0.12,6,24,-3043,4,1,3,2,8,1
5,0.12,7,12,-1025,2,1,1,1,4,1
5,0.12,8,12,-1025,2,1,1,1,4,1
5,0.12,9,10,-1019,2,1,1,1,3,1
5,0.12,0,71,-5140,6,3,3,2,9,1
5,0.12,1,62,-5111,6,3,3,2,10,1
5,0.12,2,80,-4152,5,3,2,2,9,1
5,0.12,3,76,-4159,5,3,2,2,8,1
5,0.12,4,37,-4054,5,3,2,2,7,1
5,0.12,5,22,-2031,3,1,2,2,5,1
5,0.12,6,51,-3101,4,2,2,2,8,1
5,0.12,7,58,-4112,5,3,2,2,8,1
5,0.12,8,22,-3029,4,2,2,1,5,1
5,0.12,9,49,-4080,5,2,3,3,10,1
5,0.12,0,10,-1013,2,1,1,0,2,1
5,0.12,1,23,-1040,2,2,0,0,4,1
5,0.12,2,8,-10,1,1,0,0,2,1
5,0.12,3,8,-10,1,1,0,0,2,1
5,0.12,4,8,-10,1,1,0,0,2,1
5,0.12,5,8,-11,1,0,1,0,2,1
5,0.12,6,11,-15,1,1,0,0,2,1
5,0.12,7,66,-4122,5,2,3,0,5,1
5,0.12,8,26,-2039,3,1,2,1,4,1
5,0.12,9,60,-2102,3,2,1,0,6,1
5,0.077,0,28,-3043,4,2,2,1,8,1
5,0.077,1,23,-1048,2,0,2,1,6,1
5,0.077,2,48,-4078,5,2,3,1,12,1
5,0.077,3,27,-2049,3,1,2,1,8,1
5,0.077,4,40,-3068,4,1,3,1,11,1
5,0.077,5,23,-2033,3,1,2,1,5,1
5,0.077,6,29,-3042,4,2,2,1,9,1
5,0.077,7,29,-3042,4,2,2,1,10,1
5,0.077,8,39,-2066,3,1,2,1,9,1
5,0.077,9,24,-3029,4,1,3,1,8,1
5,0.077,0,55,-3091,4,2,2,1,12,1
5,0.077,1,10,-1012,2,1,1,0,1,1
5,0.077,2,6,992,0,0,0,0,2,1
5,0.077,3,19,-29,1,1,0,0,8,1
5,0.077,4,49,-3079,4,2,2,1,13,1
5,0.077,5,8,-9,1,0,1,0,1,1
5,0.077,6,11,979,0,0,0,0,2,1
5,0.077,7,37,-2066,3,1,2,0,8,1
5,0.077,8,18,-1025,2,1,1,0,7,1
5,0.077,9,9,-10,1,0,1,0,2,1
5,0.077,0,9,987,0,0,0,0,5,1
5,0.077,1,16,-26,1,0,1,0,9,1
5,0.077,2,16,-25,1,0,1,0,7,1
5,0.077,3,32,-1063,2,1,1,1,12,1
5,0.077,4,17,-27,1,0,1,0,11,1
5,0.077,5,18,-1026,2,1,1,0,7,1
5,0.077,6,16,-24,1,0,1,0,8,1
5,0.077,7,19,-38,1,0,1,1,12,1
5,0.077,8,13,-17,1,1,0,0,6,1
5,0.077,9,45,-1086,2,1,1,0,8,1
