Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored,Gold Found
5,0.077,0,6,992,0,0,0,0,1,1
5,0.077,1,6,992,0,0,0,0,1,1
5,0.077,2,6,990,0,0,0,0,1,1
5,0.077,3,2,998,0,0,0,0,0,1
5,0.077,4,6,990,0,0,0,0,1,1
5,0.077,5,6,990,0,0,0,0,1,1
5,0.077,6,6,992,0,0,0,0,1,1
5,0.077,7,6,992,0,0,0,0,1,1
5,0.077,8,6,990,0,0,0,0,1,1
5,0.077,9,2,998,0,0,0,0,0,1
5,0.077,0,24,-2040,3,1,2,2,11,1
5,0.077,1,4,996,0,0,0,0,2,1
5,0.077,2,22,-1041,2,0,2,2,10,1
5,0.077,3,6,992,0,0,0,0,3,1
5,0.077,4,22,-2028,3,1,2,2,11,1
5,0.077,5,4,994,0,0,0,0,2,1
5,0.077,6,67,-3133,4,2,2,1,14,1
5,0.077,7,55,-2099,3,1,2,2,12,1
5,0.077,8,12,-1016,2,2,0,0,4,1
5,0.077,9,12,-1016,2,2,0,0,4,1
5,0.153,0,36,-5066,6,3,3,2,3,1
5,0.153,1,22,-4029,5,3,2,2,2,1
5,0.153,2,20,-3028,4,3,1,2,2,1
5,0.153,3,27,-5056,6,3,3,3,4,1
5,0.153,4,37,-6058,7,4,3,3,4,1
5,0.153,5,40,-5081,6,3,3,3,4,1
5,0.153,6,43,-5087,6,3,3,3,5,1
5,0.153,7,23,-4039,5,3,2,3,3,1
5,0.153,8,27,-5045,6,3,3,2,3,1
5,0.153,9,23,-4030,5,3,2,2,2,1
5,0.153,0,108,-6223,7,4,3,2,4,1
5,0.153,1,42,-6077,7,4,3,2,4,1
5,0.153,2,57,-7101,8,5,3,2,4,1
5,0.153,3,60,-8093,9,5,4,4,5,1
5,0.153,4,58,-7096,8,4,4,3,4,1
5,0.153,5,157,-6348,7,4,3,2,4,1
5,0.153,6,101,-7203,8,4,4,4,5,1
5,0.153,7,63,-7107,8,4,4,4,5,1
5,0.153,8,91,-7169,8,4,4,4,5,1
5,0.153,9,48,-6083,7,4,3,2,4,1
5,0.153,0,2,-4,0,0,0,0,0,0
5,0.153,1,2,-4,0,0,0,0,0,0
5,0.153,2,2,-3,0,0,0,0,0,0
5,0.153,3,2,-3,0,0,0,0,0,0
5,0.153,4,2,-3,0,0,0,0,0,0
5,0.153,5,2,-4,0,0,0,0,0,0
5,0.153,6,2,-3,0,0,0,0,0,0
5,0.153,7,2,-4,0,0,0,0,0,0
5,0.153,8,2,-3,0,0,0,0,0,0
5,0.153,9,2,-3,0,0,0,0,0,0
5,0.153,0,105,-6222,7,4,3,3,3,1
5,0.153,1,50,-6079,7,4,3,3,3,1
5,0.153,2,49,-6086,7,4,3,3,3,1
5,0.153,3,55,-6092,7,4,3,3,3,1
5,0.153,4,34,-7044,8,5,3,3,3,1
5,0.153,5,35,-6048,7,4,3,3,3,1
5,0.153,6,42,-7062,8,5,3,3,3,1
5,0.153,7,58,-6107,7,4,3,3,3,1
5,0.153,8,66,-6129,7,4,3,3,3,1
5,0.153,9,104,-6215,7,4,3,3,3,1
5,0.153,0,27,-4046,5,2,3,2,6,1
5,0.153,1,29,-4050,5,3,2,2,6,1
5,0.153,2,33,-5061,6,3,3,2,6,1
5,0.153,3,28,-5044,6,2,4,2,6,1
5,0.153,4,35,-4068,5,3,2,2,6,1
5,0.153,5,28,-5042,6,2,4,2,6,1
5,0.153,6,34,-6055,7,3,4,2,6,1
5,0.153,7,31,-5053,6,2,4,2,6,1
5,0.153,8,31,-5051,6,3,3,2,6,1
5,0.153,9,39,-6072,7,3,4,2,6,1
5,0.23,0,3,-1004,1,1,0,0,0,0
5,0.23,1,3,-1004,1,1,0,0,0,0
5,0.23,2,3,-1003,1,1,0,0,0,0
5,0.23,3,3,-1004,1,1,0,0,0,0
5,0.23,4,3,-1004,1,1,0,0,0,0
5,0.23,5,3,-1003,1,1,0,0,0,0
5,0.23,6,3,-1004,1,1,0,0,0,0
5,0.23,7,3,-1004,1,1,0,0,0,0
5,0.23,8,3,-1004,1,1,0,0,0,0
5,0.23,9,3,-1004,1,1,0,0,0,0
5,0.23,0,12,-1017,2,1,1,1,0,1
5,0.23,1,15,-2019,3,1,2,1,0,1
5,0.23,2,17,-2025,3,1,2,1,0,1
5,0.23,3,15,-2021,3,1,2,1,0,1
5,0.23,4,14,-2018,3,1,2,1,0,1
5,0.23,5,13,-1018,2,1,1,1,0,1
5,0.23,6,61,-7104,8,3,5,5,4,1
5,0.23,7,19,-2029,3,1,2,2,2,1
5,0.23,8,17,-2025,3,1,2,1,0,1
5,0.23,9,19,-2025,3,1,2,2,2,1
5,0.23,0,3,-1004,1,1,0,0,0,0
5,0.23,1,3,-1003,1,1,0,0,0,0
5,0.23,2,3,-1004,1,1,0,0,0,0
5,0.23,3,3,-1004,1,1,0,0,0,0
5,0.23,4,3,-1004,1,1,0,0,0,0
5,0.23,5,3,-1003,1,1,0,0,0,0
5,0.23,6,3,-1003,1,1,0,0,0,0
5,0.23,7,3,-1004,1,1,0,0,0,0
5,0.23,8,3,-1004,1,1,0,0,0,0
5,0.23,9,3,-1003,1,1,0,0,0,0
5,0.23,0,4,-2004,2,2,0,0,0,0
5,0.23,1,4,-2003,2,2,0,0,0,0
5,0.23,2,4,-2004,2,2,0,0,0,0
5,0.23,3,4,-2004,2,2,0,0,0,0
5,0.23,4,4,-2004,2,2,0,0,0,0
5,0.23,5,4,-2003,2,2,0,0,0,0
5,0.23,6,4,-2003,2,2,0,0,0,0
5,0.23,7,4,-2004,2,2,0,0,0,0
5,0.23,8,4,-2004,2,2,0,0,0,0
5,0.23,9,4,-2003,2,2,0,0,0,0
