Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored,GoldFound
5,0.077,1,11,-1013,2,1,1,0,3,1
5,0.077,2,27,-2037,3,1,2,2,13,1
5,0.077,3,6,-7,1,1,0,0,2,1
5,0.077,4,4,994,0,0,0,0,2,1
5,0.077,5,26,-1039,2,0,2,2,12,1
5,0.077,6,4,995,0,0,0,0,2,1
5,0.077,7,6,992,0,0,0,0,3,1
5,0.077,8,11,-16,1,0,1,0,4,1
5,0.077,9,6,-7,1,1,0,0,2,1
5,0.153,0,25,-5029,6,3,3,2,3,1
5,0.153,1,22,-4025,5,3,2,2,3,1
5,0.153,2,28,-5034,6,3,3,3,5,1
5,0.153,3,24,-5025,6,3,3,3,4,1
5,0.153,4,28,-5032,6,3,3,3,5,1
5,0.153,5,22,-4025,5,3,2,2,3,1
5,0.153,6,28,-5034,6,3,3,3,5,1
5,0.153,7,25,-5029,6,3,3,2,3,1
5,0.153,8,24,-5030,6,3,3,2,3,1
5,0.153,9,24,-5025,6,3,3,3,4,1
5,0.153,0,73,-7131,8,4,4,4,6,1
5,0.153,1,91,-7163,8,4,4,4,6,1
5,0.153,2,55,-7079,8,4,4,4,6,1
5,0.153,3,87,-7159,8,4,4,4,6,1
5,0.153,4,105,-7207,8,4,4,4,6,1
5,0.153,5,87,-7161,8,4,4,4,6,1
5,0.153,6,49,-7069,8,4,4,4,6,1
5,0.153,7,49,-5077,6,2,4,4,6,1
5,0.153,8,95,-7175,8,4,4,4,6,1
5,0.153,9,61,-6094,7,3,4,4,6,1
5,0.153,0,2,-3,0,0,0,0,0,0
5,0.153,1,2,-4,0,0,0,0,0,0
5,0.153,2,2,-4,0,0,0,0,0,0
5,0.153,3,2,-3,0,0,0,0,0,0
5,0.153,4,2,-4,0,0,0,0,0,0
5,0.153,5,2,-4,0,0,0,0,0,0
5,0.153,6,2,-3,0,0,0,0,0,0
5,0.153,7,2,-3,0,0,0,0,0,0
5,0.153,8,2,-4,0,0,0,0,0,0
5,0.153,9,2,-4,0,0,0,0,0,0
5,0.153,0,57,-6100,7,4,3,3,5,1
5,0.153,1,87,-6180,7,4,3,3,5,1
5,0.153,2,34,-6043,7,4,3,3,5,1
5,0.153,3,34,-6041,7,4,3,3,5,1
5,0.153,4,39,-6054,7,4,3,3,5,1
5,0.153,5,41,-6062,7,4,3,3,5,1
5,0.153,6,32,-6039,7,4,3,3,5,1
5,0.153,7,29,-5037,6,3,3,3,5,1
5,0.153,8,35,-6044,7,4,3,3,5,1
5,0.153,9,35,-6046,7,4,3,3,5,1
5,0.153,0,31,-6038,7,3,4,2,6,1
5,0.153,1,19,-3025,4,1,3,1,5,1
